Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Lao PDR,LAO,53.713,58.378,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,68.061,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Latvia,LVA,69.27317073,70.31463415,73.98292683,74.12439024,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488,75.18536585,73.28292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Lebanon,LBN,64.475,73.931,78.765,78.973,79.229,79.505,79.654,79.729,79.236,77.804,75.047,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Lesotho,LSO,59.398,48.427,49.002,50.033,51.101,52.264,53.064,53.733,54.173,54.693,53.062,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Liberia,LBR,36.688,51.356,59.943,59.121,59.148,60.416,60.553,60.853,61.104,60.948,60.747,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Libya,LBY,69.423,70.68,72.34,71.511,71.698,71.756,72.482,72.794,72.463,72.472,71.911,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Liechtenstein,LIE,..,76.82682927,82.26097561,82.07317073,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659,84.40243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Lithuania,LTU,71.16073171,72.0195122,73.91463415,74.51707317,74.32195122,74.67073171,75.4804878,75.6804878,76.28292683,74.97804878,74.33902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Luxembourg,LUX,75.43831707,77.87317073,81.8,82.22926829,82.29268293,82.68536585,82.09512195,82.29512195,82.63902439,82.14390244,82.74878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Macao SAR, China",MAC,77.424,80.959,83.727,83.883,83.984,84.231,84.563,84.928,84.978,85.184,85.399,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Madagascar,MDG,51.701,57.938,63.962,64.255,64.339,64.997,65.094,65.27,65.882,65.182,64.485,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Malawi,MWI,43.323,44.518,59.729,60.899,61.378,62.209,62.977,63.276,64.119,63.717,62.904,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Malaysia,MYS,71.307,72.775,75.035,75.146,75.094,75.289,75.476,75.644,75.76,75.938,74.884,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Maldives,MDV,63.578,70.876,79.057,79.424,79.695,79.872,79.943,80.013,80.116,79.875,79.918,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mali,MLI,46.62,50.539,57.357,57.9,58.363,58.731,59.132,59.393,59.664,58.633,58.941,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Malta,MLT,75.87997561,78.34878049,81.74634146,82.04634146,81.89756098,82.45365854,82.34634146,82.44878049,82.85853659,82.34878049,82.86097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Marshall Islands,MHL,62.176,63.275,63.464,63.623,63.827,64.057,64.27,64.5,64.746,64.977,65.269,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mauritania,MRT,59.77,61.028,63.911,64.155,64.485,64.768,65.083,65.31,65.687,64.532,64.364,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mauritius,MUS,69.40487805,71.66341463,74.01707317,74.19439024,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366,74.17707317,73.6802439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Mexico,MEX,69.971,73.569,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,70.213,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,"Micronesia, Fed. Sts.",FSM,67.425,69.769,71.499,71.529,71.408,71.595,71.467,71.318,71.077,70.674,70.71,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Moldova,MDA,68.067,66.417,69.099,69.031,69.24,69.917,70.516,70.492,70.935,70.166,68.846,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Mongolia,MNG,58.765,62.882,68.585,69.047,69.498,69.865,70.237,71.199,71.822,72.141,70.975,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Montenegro,MNE,75.56687805,73.8184878,76.4902439,76.44146341,76.44878049,76.44146341,76.48536585,76.84146341,76.68292683,75.93170732,73.82439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Morocco,MAR,62.448,66.787,72.122,72.538,72.92,73.284,73.66,73.986,74.27,73.92,74.042,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mozambique,MOZ,44.469,49.491,56.492,57.274,58.151,59.038,59.771,60.526,61.166,61.172,59.325,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Myanmar,MMR,56.661,60.155,64.815,65.056,65.561,65.685,65.843,66.465,66.61,66.797,65.672,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Namibia,NAM,62.496,51.99,58.694,59.822,60.7,61.682,62.293,62.586,63.075,62.829,59.269,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Nauru,NRU,61.356,58.732,61.231,61.807,62.269,62.702,62.988,63.234,63.484,63.437,63.617,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Nepal,NPL,54.833,62.614,67.965,68.085,67.456,68.776,68.91,68.979,69.558,69.246,68.45,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Netherlands,NLD,76.87804878,77.98780488,81.30487805,81.70731707,81.5097561,81.56097561,81.76097561,81.81219512,82.11219512,81.35853659,81.46097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,New Caledonia,NCL,70.48536585,75.16341463,77.17804878,77.23658537,77.2804878,76.93170732,77.53902439,80.00309756,80.41970732,80.83495122,79.12734146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,New Zealand,NZL,75.37804878,78.63658537,81.40487805,81.45682927,81.61243902,81.65853659,81.85853659,81.70731707,82.05609756,82.25609756,82.20731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Nicaragua,NIC,63.096,67.234,72.704,72.812,72.983,73.256,73.554,73.85,74.054,71.795,73.837,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Niger,NER,41.852,49.322,60.239,60.786,61.083,61.629,62.16,62.454,62.897,61.451,61.576,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Nigeria,NGA,46.037,47.193,51.707,51.791,51.841,52.043,52.305,52.554,52.91,52.887,52.676,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,North Macedonia,MKD,71.23380488,72.94634146,75.4,75.45121951,75.40243902,75.4,75.95365854,76.64878049,76.60243902,74.39512195,74.53682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Norway,NOR,76.53731707,78.63414634,81.75121951,82.1,82.30487805,82.40731707,82.6097561,82.75853659,82.95853659,83.2097561,83.16341463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Oman,OMN,69.782,73.466,77.246,77.446,77.687,77.916,77.924,77.966,78.002,74.757,72.541,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Pakistan,PAK,60.066,62.102,65.15,65.284,65.697,65.88,66.297,66.482,66.756,66.269,66.098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Palau,PLW,69.06926829,70.49365854,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Panama,PAN,71.097,74.001,77.038,77.248,77.468,77.653,77.795,77.863,77.81,76.657,76.223,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Papua New Guinea,PNG,59.721,61.72,63.961,64.259,64.701,64.84,65.103,65.182,65.474,65.787,65.351,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Paraguay,PRY,67.944,69.75,72.757,72.878,73.191,73.534,73.644,73.568,73.621,73.182,70.262,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Peru,PER,65.106,70.424,74.967,75.333,75.621,75.789,75.879,76.009,76.156,73.665,72.377,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Philippines,PHL,65.909,69.413,70.835,71.151,71.268,71.387,71.516,71.689,71.865,72.119,69.266,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Poland,POL,70.8902439,73.74878049,77,77.60243902,77.45121951,77.85121951,77.75365854,77.60243902,77.90487805,76.5,75.60243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Portugal,PRT,73.96585366,76.31463415,80.72195122,81.12195122,81.12439024,81.12439024,81.42439024,81.32439024,81.67560976,80.97560976,81.07317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Puerto Rico,PRI,73.89,75.977,78.777,78.929,79.695,80.27,79.258,79.77,79.063,78.041,80.162,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Qatar,QAT,73.982,74.828,79.536,79.768,80.064,80.433,80.717,80.898,80.99,79.099,79.272,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Romania,ROU,69.74121951,71.16341463,75.06341463,74.9097561,74.91219512,75.2097561,75.3097561,75.35853659,75.60731707,74.25365854,72.96097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Russian Federation,RUS,68.88609756,65.48365854,70.57878049,70.74365854,71.18341463,71.65121951,72.45146341,72.66219512,73.08390244,71.33878049,69.36121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Rwanda,RWA,48.431,47.129,64.426,64.94,65.298,65.737,65.941,66.251,66.437,66.774,66.072,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Samoa,WSM,67.658,70.746,72.391,72.463,72.515,72.54,72.59,72.636,72.157,72.768,72.767,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Sao Tome and Principe,STP,61.471,61.655,66.328,66.845,67.249,67.492,68.267,68.355,68.523,67.785,67.591,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Saudi Arabia,SAU,68.948,72.467,76.626,76.757,76.918,77.064,77.16,77.212,77.304,76.239,76.936,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Senegal,SEN,56.948,56.943,66.072,66.452,66.879,67.497,67.75,68.097,68.526,68.006,67.093,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Serbia,SRB,70.22921951,71.58292683,75.18536585,75.33658537,75.28780488,75.68780488,75.53902439,75.8902439,75.93658537,74.47804878,72.73073171,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Seychelles,SYC,68.10731707,72.77804878,73.1195122,73.22926829,74.29512195,74.3097561,74.3,72.84146341,74.04634146,77.23658537,73.39756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Sierra Leone,SLE,44.057,45.05,56.313,56.393,57.189,58.404,58.652,59.796,60.255,59.763,60.062,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Singapore,SGP,75.29512195,77.95121951,82.24634146,82.49512195,82.74390244,82.84634146,83.09512195,83.29756098,83.59512195,84.46585366,83.44146341,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Sint Maarten (Dutch part),SXM,72.324,74.514,74.917,76.773,76.954,76.598,75.03,75.131,75.437,74.584,73.972,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Slovak Republic,SVK,70.93268293,73.05121951,76.41219512,76.81219512,76.56341463,77.16585366,77.16585366,77.26585366,77.66585366,76.86585366,74.71463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Slovenia,SVN,73.20487805,75.41219512,80.32195122,81.07804878,80.77560976,81.17560976,81.02926829,81.37804878,81.52926829,80.53170732,80.87560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Solomon Islands,SLB,65.392,67.225,69.188,69.234,69.583,69.801,69.988,70.173,70.382,70.199,70.348,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Somalia,SOM,47.105,50.66,53.843,54.277,54.857,55.044,55.654,56.375,57.078,55.967,55.28,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,South Africa,ZAF,63.375,58.47,62.533,63.38,63.95,64.747,65.402,65.674,66.175,65.252,62.341,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,South Sudan,SSD,29.935,46.028,55.751,54.973,55.566,55.544,55.309,55.95,55.912,55.48,54.975,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Spain,ESP,76.83756098,78.96585366,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.33170732,83.17804878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Sri Lanka,LKA,71.927,70.355,74.239,74.651,74.927,75.331,75.403,75.748,76.008,76.393,76.399,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,St. Kitts and Nevis,KNA,65.188,69.781,71.457,70.966,70.763,71.74,71.84,71.467,71.572,71.627,71.682,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,St. Lucia,LCA,70.326,70.768,72.735,72.864,73.138,73.112,73.127,73.357,73.445,73.416,71.111,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,St. Martin (French part),MAF,74.463,76.663,78.908,79.966,79.309,79.475,78.59,80.614,79.983,80.149,80.379,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,St. Vincent and the Grenadines,VCT,72.38,71.377,73.798,74.473,74.407,74.28,74.305,74.128,72.835,72.126,69.629,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Sudan,SDN,49.732,58.319,63.678,64.269,64.659,64.78,65.445,65.681,65.876,65.614,65.267,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Suriname,SUR,64.23,65.508,69.682,69.782,70.8,71.592,72.417,72.553,72.242,72.561,70.274,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Sweden,SWE,77.53682927,79.64390244,81.95609756,82.25365854,82.20487805,82.30731707,82.4097561,82.55853659,83.1097561,82.35609756,83.15609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Switzerland,CHE,77.24243902,79.6804878,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854,83.90487805,83,83.85121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Syrian Arab Republic,SYR,69.817,70.764,63.827,63.153,65.124,65.993,68.481,70.145,71.822,72.14,72.063,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Tajikistan,TJK,61.879,63.26,68.885,69.069,69.306,69.549,69.905,70.353,70.867,67.994,71.594,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Tanzania,TZA,51.485,52.362,62.96,63.873,64.651,65.386,65.999,66.535,66.989,66.408,66.201,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Thailand,THA,70.445,72.316,77.083,77.415,77.717,78.049,78.394,78.662,78.975,79.274,78.715,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Timor-Leste,TLS,44.953,58.568,66.44,66.787,67.137,67.446,67.745,68.017,68.268,68.475,67.737,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Togo,TGO,54.37,54.742,58.684,58.853,59.396,59.55,60.154,60.244,60.901,61.035,61.619,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Tonga,TON,67.294,68.978,70.505,70.54,70.607,70.661,70.713,70.779,70.871,70.928,70.986,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Trinidad and Tobago,TTO,68.272,69.102,73.962,74.215,74.503,74.281,74.23,73.802,74.228,74.406,72.971,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Tunisia,TUN,70.11,73.69,75.65,75.65,75.692,75.786,75.845,75.95,75.993,75.292,73.772,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Turkiye,TUR,67.709,71.861,76.297,76.565,76.646,76.66,77.141,77.563,77.832,75.85,76.032,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Turkmenistan,TKM,63.939,65.026,68.74,68.614,68.782,68.777,68.916,68.796,69.002,68.687,69.264,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Turks and Caicos Islands,TCA,69.001,73.575,77.018,77.135,76.912,76.864,76.702,76.443,75.326,75.001,74.587,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Tuvalu,TUV,61.661,63.499,64.008,64.025,64.06,64.108,64.148,64.212,64.278,64.382,64.547,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Uganda,UGA,46.443,48.342,59.763,60.408,61.086,61.648,62.115,62.714,62.991,62.851,62.705,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Ukraine,UKR,70.09756098,67.67560976,71.1595122,71.18658537,71.1895122,71.47634146,71.78097561,71.58268293,71.82731707,71.18512195,69.64780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,United Arab Emirates,ARE,71.9,74.38,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,78.71,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,United Kingdom,GBR,75.8804878,77.74146341,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.40487805,80.35121951,80.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,United States,USA,75.21463415,76.63658537,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Uruguay,URY,73.162,75.025,77.24,77.366,77.483,77.571,77.625,77.611,77.508,78.43,75.436,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Uzbekistan,UZB,65.346,65.724,69.99,70.234,70.475,70.755,71.01,71.149,71.344,70.331,70.862,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Vanuatu,VUT,66.675,68.966,69.534,69.465,69.513,69.65,69.71,69.795,69.877,70.299,70.449,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,"Venezuela, RB",VEN,71.532,72.478,73.196,72.853,73.006,72.058,71.943,71.979,72.161,71.095,70.554,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Vietnam,VNM,69.213,72.462,73.775,73.855,73.876,73.938,73.963,73.976,74.093,75.378,73.618,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Virgin Islands (U.S.),VIR,71.25046341,76.6195122,78.71707317,78.86829268,79.01707317,79.16829268,79.36829268,79.5195122,79.66829268,79.8195122,80.06829268,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,West Bank and Gaza,PSE,67.934,70.388,74.029,72.622,74.406,74.554,74.833,74.793,75.241,74.403,73.473,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Yemen, Rep.",YEM,58.699,62.588,67.545,67.384,65.873,66.064,65.957,64.575,65.092,64.65,63.753,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Zambia,ZMB,47.926,45.231,59.878,60.699,61.208,61.794,62.12,62.342,62.793,62.38,61.223,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Zimbabwe,ZWE,59.426,44.686,57.458,58.846,59.591,60.306,60.709,61.414,61.292,61.124,59.253,..
